Source:,C:\Users\tkdwp\OneDrive\Documents\sbeij\sbeij.kicad_sch,,,,,,,,
Date:,2/13/2026 20:51,,,,,,,,
Tool:,Eeschema 7.0.10,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,17,,,,,,,,
,,,,,,,,,
Collated Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Sim.Device,Sim.Pins
1,1,C1,4.7u,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,
2,1,C2,0.1u,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,
3,1,C3,C,Device:C,Capacitor_SMD:C_0402_1005Metric,~,,,
4,1,CL1,C_Small,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,
5,1,Diode1,1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf,,D,1=K 2=A
6,1,HD-EM1003-LW15-R1,Motor_DC,Motor:Motor_DC,,~,,,
7,1,PMOF-9745W-42DQ1,Microphone,Device:Microphone,,~,,,
8,1,Q1,IRLZ34N,Transistor_FET:IRLZ34N,Package_TO_SOT_SMD:TO-263-2,http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720,,,
9,2,"R1, RL1",2.2k,Device:R_US,Resistor_SMD:R_0402_1005Metric,~,,,
10,1,R2,3.3k,Device:R_US,Resistor_SMD:R_0402_1005Metric,~,,,
11,1,R3,330,Device:R_US,Resistor_SMD:R_0402_1005Metric,~,,,
12,2,"R4, R6",390,Device:R_US,Resistor_SMD:R_0402_1005Metric,~,,,
13,1,R5,4.7k,Device:R_US,Resistor_SMD:R_0402_1005Metric,~,,,
14,1,RB1,1k,Device:R_US,Resistor_SMD:R_0402_1005Metric,~,,,
15,1,U1,LM324,Amplifier_Operational:LM324,Package_SO:SOIC-8-N7_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,,,
